Broad Bean Origin,Cocoa Percent,Company Location,Rating
Peru,70%,France,70
Venezuela,70%,France,55
Venezuela,70%,France,70
Venezuela,70%,France,75
Peru,70%,France,80
Madagascar,70%,France,60
Brazil,70%,France,65
Ecuador,70%,France,75
Colombia,70%,France,55
Papua New Guinea,70%,France,65
Venezuela,70%,France,80
Peru,70%,France,65
Peru,70%,France,70
Peru,63%,France,80
Bolivia,70%,France,70
Peru,63%,France,75
Ecuador,55%,Ecuador,55
Ecuador,70%,Ecuador,60
Madagascar,75%,Switzerland,55
Brazil,75%,Switzerland,55
Trinidad,65%,France,55
Vietnam,75%,France,55
Madagascar,75%,France,60
Venezuela,75%,France,50
Peru,75%,France,50
Ghana,70%,Spain,60
Ecuador,70%,Spain,55
Ecuador,85%,Spain,55
Ghana,85%,Spain,60
Belize,64%,Canada,60
Madagascar,66%,Canada,65
Dominican Republic,75%,Canada,65
Papua New Guinea,63%,Canada,65
Venezuela,70%,Canada,65
Peru,68%,Canada,70
Peru,70%,Italy,75
Venezuela,70%,Italy,80
Venezuela,70%,Italy,100
Ecuador,70%,Italy,60
Venezuela,70%,Italy,75
Madagascar,70%,Italy,80
Trinidad,70%,Italy,70
Madagascar,75%,France,60
Ecuador,75%,France,55
Venezuela,75%,France,60
Trinidad,72%,U.K.,65
Colombia,72%,U.K.,75
Venezuela,100%,U.K.,35
Costa Rica,72%,U.K.,65
Vietnam,72%,U.K.,65
Venezuela,75%,U.K.,50
Brazil,72%,U.K.,35
Madagascar,80%,U.K.,60
Peru,75%,U.K.,60
Dominican Republic,72%,U.K.,65
Colombia,72%,U.K.,55
Papua New Guinea,70%,Australia,70
Madagascar,70%,Australia,60
Brazil,70%,Australia,50
Costa Rica,64%,Belgium,55
Papua New Guinea,64%,Belgium,55
Peru,64%,Belgium,55
Ecuador,71%,Belgium,70
Belize,83%,Germany,55
Belize,78%,Germany,60
Belize,83%,Germany,70
Venezuela,74%,Belgium,70
Venezuela,74%,Belgium,70
Ecuador,73%,Belgium,80
Madagascar,72%,Belgium,75
Madagascar,64%,Switzerland,60
Venezuela,88%,Switzerland,60
Venezuela,72%,Switzerland,70
Ecuador,72%,Switzerland,80
Venezuela,70%,Switzerland,65
Venezuela,74%,Switzerland,65
Venezuela,72%,Switzerland,70
Brazil,75%,France,80
Dominican Republic,75%,France,65
Brazil,75%,France,70
Peru,75%,France,70
Peru,75%,France,70
Brazil,75%,France,75
Madagascar,75%,France,80
Brazil,75%,France,70
Peru,75%,France,55
Venezuela,75%,France,80
Ecuador,75%,France,50
Venezuela,75%,France,80
Venezuela,75%,France,80
Madagascar,75%,France,80
Venezuela,75%,France,80
Ecuador,77%,Ecuador,65
Ecuador,100%,Ecuador,30
Madagascar,72%,Australia,60
Dominican Republic,70%,Australia,70
Ecuador,72%,Australia,70
Trinidad,68%,Australia,55
Dominican Republic,70%,France,60
Tanzania,75%,France,40
Venezuela,72%,France,40
Colombia,71%,Colombia,75
Colombia,74%,Colombia,75
Colombia,72%,Colombia,75
Colombia,64%,Colombia,70
Colombia,70%,Colombia,70
Colombia,69%,Colombia,55
Colombia,70%,Colombia,65
Madagascar,71%,Spain,70
Ecuador,71%,Spain,75
Papua New Guinea,71%,Spain,80
Venezuela,71%,Spain,70
Venezuela,77%,Spain,70
Ecuador,63%,Ecuador,70
Ecuador,71%,Ecuador,70
Ecuador,82%,Ecuador,50
Ecuador,91%,Ecuador,30
Ecuador,70%,Belgium,20
Dominican Republic,72%,Italy,60
Ecuador,100%,Italy,70
Venezuela,80%,Italy,60
Trinidad,70%,Italy,50
Ecuador,77%,Ecuador,40
Ecuador,77%,Ecuador,50
Ecuador,77%,Ecuador,55
Ecuador,55%,Ecuador,60
Ecuador,55%,Ecuador,65
Ecuador,55%,Ecuador,70
Colombia,65%,Colombia,60
Colombia,65%,Colombia,65
Colombia,65%,Colombia,65
Colombia,65%,Colombia,70
Colombia,65%,Colombia,70
Ecuador,72%,France,55
Ecuador,55%,Ecuador,55
Ecuador,75%,Ecuador,60
Ecuador,70%,U.K.,65
Belize,75%,Germany,60
Belize,82%,Germany,65
Peru,65%,U.K.,50
Peru,65%,U.K.,55
Dominican Republic,80%,U.K.,50
Madagascar,71%,Spain,70
Venezuela,71%,Spain,70
Ecuador,71%,Spain,50
Venezuela,80%,Canada,50
Brazil,70%,Canada,60
Brazil,80%,Canada,60
Venezuela,70%,Canada,60
Peru,68%,Canada,75
Ecuador,65%,Germany,65
Ghana,85%,Germany,70
Ecuador,100%,Germany,30
Madagascar,70%,Germany,70
Venezuela,70%,Germany,60
Ecuador,72%,Germany,50
Trinidad,72%,Germany,60
Venezuela,72%,Germany,65
Peru,72%,Germany,60
Peru,62%,Germany,65
Venezuela,70%,Germany,70
Venezuela,70%,Germany,75
Venezuela,72%,Germany,60
Madagascar,72%,Germany,60
Papua New Guinea,70%,Australia,50
Tanzania,75%,Australia,65
Brazil,65%,Australia,65
Papua New Guinea,75%,Australia,70
Trinidad,70%,U.K.,60
Ecuador,70%,U.K.,70
Nicaragua,70%,U.K.,55
Papua New Guinea,64%,France,60
Venezuela,66%,France,75
Tanzania,72%,Canada,50
Venezuela,85%,U.K.,60
Venezuela,72%,U.K.,65
Nicaragua,72%,U.K.,70
Ecuador,70%,Italy,75
Venezuela,70%,Italy,75
Venezuela,100%,Italy,60
Tanzania,70%,Italy,70
Venezuela,70%,Italy,75
Venezuela,70%,Italy,70
Venezuela,70%,Italy,60
Venezuela,70%,Italy,60
Colombia,70%,Italy,60
Venezuela,70%,Italy,80
Venezuela,75%,Italy,65
Venezuela,60%,Italy,65
Madagascar,70%,Italy,70
Madagascar,70%,Italy,70
Ecuador,70%,Italy,80
Venezuela,70%,Italy,80
Venezuela,70%,Italy,60
Peru,70%,Italy,65
Venezuela,70%,Italy,70
Venezuela,70%,U.K.,50
Colombia,80%,U.K.,55
Madagascar,77%,U.K.,55
Nicaragua,70%,U.K.,70
Nicaragua,76%,U.K.,75
Venezuela,72%,U.K.,75
Dominican Republic,65%,U.K.,70
Nicaragua,71%,U.K.,65
Venezuela,71%,U.K.,70
Ecuador,72%,U.K.,75
Ecuador,70%,U.K.,50
Peru,70%,U.K.,75
Madagascar,82%,France,55
Peru,70%,Canada,65
Madagascar,70%,Canada,70
Dominican Republic,70%,Canada,75
Colombia,70%,Canada,65
Colombia,70%,Canada,65
Venezuela,68%,Germany,60
Vietnam,70%,France,65
Vietnam,80%,France,60
Vietnam,74%,France,65
Dominican Republic,74%,Switzerland,60
Madagascar,64%,Switzerland,60
Venezuela,65%,Switzerland,60
Ecuador,72%,Switzerland,70
Bolivia,68%,Switzerland,80
Peru,72%,U.K.,55
Costa Rica,70%,Belgium,70
Peru,75%,Belgium,70
Vietnam,80%,Belgium,60
Ghana,60%,Belgium,70
Madagascar,65%,Belgium,70
Madagascar,65%,Germany,65
Ghana,70%,Germany,80
Madagascar,75%,Germany,70
Ecuador,64%,Italy,60
Ghana,64%,Italy,60
Venezuela,76%,Italy,60
Papua New Guinea,80%,Canada,55
Dominican Republic,75%,Canada,65
Ecuador,77%,Germany,50
Ecuador,55%,Ecuador,55
Ecuador,70%,Ecuador,60
Peru,64%,Germany,55
Ecuador,80%,Ecuador,40
Ecuador,80%,Ecuador,50
Ecuador,72%,Ecuador,60
Ecuador,58%,Ecuador,65
Ecuador,58%,Ecuador,70
Trinidad,75%,U.K.,60
Vietnam,80%,U.K.,70
Ecuador,90%,U.K.,60
Madagascar,72%,U.K.,60
Ecuador,82%,U.K.,70
Peru,100%,U.K.,55
Ecuador,100%,U.K.,50
Dominican Republic,100%,U.K.,55
Madagascar,66%,U.K.,70
Ecuador,80%,U.K.,60
Ecuador,70%,U.K.,55
Dominican Republic,70%,U.K.,60
Venezuela,70%,U.K.,55
Tanzania,75%,U.K.,55
Vietnam,70%,Canada,70
Bolivia,70%,Canada,60
Bolivia,70%,Canada,60
Nicaragua,70%,Canada,60
Dominican Republic,70%,Canada,75
Dominican Republic,70%,Canada,70
Venezuela,70%,Canada,65
Venezuela,70%,Canada,75
Venezuela,72%,Switzerland,75
Venezuela,72%,Switzerland,75
Venezuela,72%,Switzerland,75
Venezuela,72%,Switzerland,65
Venezuela,72%,Switzerland,75
Venezuela,74%,Switzerland,80
Venezuela,72%,Switzerland,70
Venezuela,70%,Switzerland,80
Venezuela,72%,Switzerland,80
Venezuela,72%,Switzerland,80
Peru,64%,Germany,50
Ecuador,70%,Ecuador,60
Ecuador,70%,Ecuador,70
Ecuador,75%,Ecuador,55
Ecuador,85%,Ecuador,50
Ecuador,85%,Ecuador,55
Ecuador,85%,Ecuador,60
Ecuador,75%,Ecuador,50
Ecuador,85%,Ecuador,60
Ecuador,80%,France,55
Ecuador,56%,France,65
Dominican Republic,66%,France,70
Ghana,68%,France,65
Venezuela,69%,France,70
Ecuador,60%,Ecuador,65
Madagascar,75%,France,55
Vietnam,75%,France,55
Peru,75%,France,65
Brazil,75%,France,65
Vietnam,75%,France,75
Colombia,65%,Colombia,70
Tanzania,75%,Italy,40
Ecuador,70%,Italy,60
Dominican Republic,70%,Italy,75
Ecuador,70%,Italy,40
Colombia,70%,Colombia,55
Bolivia,76%,Austria,55
Colombia,74%,Austria,65
Madagascar,68%,Australia,80
Papua New Guinea,74%,Australia,80
Venezuela,66%,France,70
Dominican Republic,67%,France,80
Madagascar,65%,France,80
Papua New Guinea,64%,France,80
Colombia,65%,Colombia,50
Dominican Republic,72%,Canada,70
Papua New Guinea,70%,Australia,65
Ecuador,70%,Ecuador,65
Ecuador,63%,Ecuador,70
Ecuador,85%,Ecuador,70
Papua New Guinea,70%,Belgium,50
Trinidad,67%,Belgium,75
Venezuela,71%,Belgium,60
Bolivia,70%,Germany,70
Belize,74%,Canada,55
Dominican Republic,72%,Canada,55
Nicaragua,72%,Canada,55
Dominican Republic,72%,Canada,60
Ecuador,72%,Canada,60
Papua New Guinea,68%,Switzerland,55
Bolivia,66%,Switzerland,75
Peru,75%,Switzerland,60
Bolivia,68%,Switzerland,65
Colombia,70%,Ecuador,80
Ecuador,70%,Ecuador,65
Ecuador,70%,Ecuador,70
Ecuador,70%,Ecuador,75
Ecuador,70%,Ecuador,80
Ecuador,85%,Ecuador,55
Peru,70%,Ecuador,80
Ecuador,70%,Ecuador,70
Ecuador,60%,Ecuador,50
Ecuador,65%,Ecuador,55
Ecuador,72%,Ecuador,60
Ecuador,100%,Ecuador,40
Ecuador,70%,Ecuador,70
Belize,72%,Canada,60
Bolivia,70%,Canada,65
Trinidad,70%,Canada,65
Tanzania,72%,Canada,70
Vietnam,72%,Canada,75
Bolivia,72%,Canada,55
Madagascar,78%,Canada,75
Ecuador,75%,Canada,55
Trinidad,70%,Canada,75
Madagascar,73%,U.K.,45
Madagascar,64%,U.K.,55
Venezuela,75%,Belgium,60
Trinidad,75%,Belgium,65
Peru,85%,Belgium,60
Brazil,72%,Belgium,60
Ecuador,72%,Belgium,75
Madagascar,72%,Belgium,80
Venezuela,72%,Belgium,80
Peru,75%,France,65
Venezuela,75%,France,65
Venezuela,75%,France,70
Venezuela,75%,France,40
Papua New Guinea,75%,France,60
Madagascar,100%,France,60
Dominican Republic,75%,France,40
Brazil,75%,France,70
Brazil,75%,France,60
Tanzania,75%,France,70
Trinidad,75%,France,70
Madagascar,75%,France,75
Venezuela,75%,France,70
Ecuador,75%,France,60
Ghana,75%,France,65
Colombia,75%,France,70
Ecuador,80%,France,80
Ecuador,77%,U.K.,70
Madagascar,74%,U.K.,70
Venezuela,75%,U.K.,55
Ecuador,75%,U.K.,60
Madagascar,72%,U.K.,65
Ecuador,85%,U.K.,55
Venezuela,73%,Italy,55
Peru,75%,France,65
Ecuador,75%,Ecuador,65
Ecuador,75%,Ecuador,50
Ecuador,75%,Ecuador,60
Ecuador,67%,Ecuador,70
Ecuador,75%,Ecuador,75
Madagascar,64%,Italy,70
Dominican Republic,70%,Italy,60
Colombia,75%,Colombia,55
Colombia,70%,Colombia,60
Colombia,53%,Colombia,40
Colombia,65%,Colombia,60
Colombia,70%,Colombia,80
Belize,67%,Italy,60
Brazil,60%,Italy,65
Colombia,68%,Italy,60
Bolivia,73%,Canada,70
Tanzania,73%,Canada,70
Ecuador,73%,Canada,75
Madagascar,100%,Canada,60
Ecuador,100%,Canada,60
Madagascar,67%,Canada,75
Madagascar,73%,Canada,75
Ecuador,73%,Canada,75
Dominican Republic,70%,Australia,70
Venezuela,70%,Australia,75
Ecuador,70%,Australia,80
Belize,70%,Australia,75
Vietnam,70%,Australia,60
Madagascar,65%,Australia,65
Madagascar,70%,Australia,70
Tanzania,67%,Australia,75
Trinidad,70%,Australia,75
Ecuador,72%,Australia,80
Bolivia,72%,Australia,55
Papua New Guinea,65%,Australia,70
Peru,67%,Australia,60
Venezuela,70%,Australia,75
Peru,68%,U.K.,55
Madagascar,70%,Canada,70
Brazil,70%,Canada,70
Nicaragua,70%,Canada,75
Vietnam,70%,Canada,80
Ecuador,70%,Canada,65
Venezuela,70%,Canada,70
Venezuela,75%,Canada,80
Nicaragua,70%,Canada,70
Peru,70%,Canada,75
Nicaragua,70%,Canada,65
Ecuador,80%,Canada,70
Dominican Republic,77%,Canada,75
Peru,70%,Canada,55
Trinidad,70%,Canada,75
Venezuela,70%,Canada,75
Venezuela,70%,Canada,80
Venezuela,70%,Canada,65
Venezuela,70%,Canada,75
Papua New Guinea,85%,Canada,70
Bolivia,70%,Canada,70
Peru,64%,Canada,80
Dominican Republic,70%,Canada,75
Venezuela,70%,Canada,70
Dominican Republic,70%,Canada,60
Ghana,70%,Canada,70
Dominican Republic,70%,Canada,60
Papua New Guinea,70%,Canada,70
Madagascar,70%,Canada,75
Venezuela,70%,Canada,75
Dominican Republic,70%,Canada,65
Madagascar,70%,Canada,70
Venezuela,75%,Canada,70
Ecuador,75%,Canada,65
Papua New Guinea,77%,Canada,65
Tanzania,80%,Canada,70
Ecuador,70%,Australia,75
Madagascar,70%,Australia,75
Bolivia,70%,Switzerland,60
Brazil,68%,Switzerland,55
Belize,72%,Germany,75
Ecuador,81%,Ecuador,65
Dominican Republic,63%,France,75
Venezuela,65%,Italy,65
Peru,63%,France,80
Dominican Republic,64%,France,70
Venezuela,69%,France,80
Venezuela,64%,France,80
Dominican Republic,64%,France,75
Ecuador,66%,France,75
Ghana,68%,France,70
Venezuela,65%,France,75
Madagascar,64%,France,80
Venezuela,64%,France,65
Trinidad,64%,France,50
Venezuela,64%,France,60
Madagascar,64%,France,70
Vietnam,70%,France,70
Colombia,70%,U.K.,80
Colombia,88%,U.K.,60
Madagascar,71%,U.K.,60
Venezuela,72%,U.K.,70
Peru,70%,U.K.,60
Venezuela,72%,U.K.,65
Madagascar,70%,Austria,70
Ecuador,70%,Austria,55
Trinidad,85%,Austria,55
Tanzania,85%,Austria,60
Tanzania,70%,Austria,70
Trinidad,78%,Austria,70
Bolivia,68%,Australia,70
Papua New Guinea,66%,Australia,70
Bolivia,72%,Australia,75
Peru,70%,Austria,60
Peru,70%,Austria,70
Dominican Republic,62%,Austria,75
Ecuador,75%,Austria,60
Papua New Guinea,75%,Austria,60
Bolivia,90%,Austria,65
Dominican Republic,70%,Austria,75
Peru,70%,Austria,75
Brazil,65%,Austria,60
